id_recebimento_raw,id_transacao_raw,data_recebimento,valor_recebido,metodo_recebimento,comprovante,ingestion_id,ingestion_ts,source_system,source_entity,row_seq,raw_row_hash
1,22087,17/10/24,2483.91,Ted,RECB-CAED1FB5385,83ccf001-4c15-4f44-9c38-0d512efba514,2026-01-10T10:00:00.000Z,ERP_CORPORATIVO,recebimentos,1,533b21afcc6b8b03826617a07c414364e6c5e7c20f2047a8d6dac62c3ff7fef4
2,7438,10/12/2024,2,TRANSFERENCIA,RECB-EEB0F9DB3A4,83ccf001-4c15-4f44-9c38-0d512efba514,2026-01-10T10:00:00.000Z,ERP_CORPORATIVO,recebimentos,2,81fc4cdddeb60f18aea8145d10814c57973ad4c69d46c7a8969f7c87d0fda7cc
3,4395,07/09/24,"R$2387,77",TED,RECB-3CC5586D759,83ccf001-4c15-4f44-9c38-0d512efba514,2026-01-10T10:00:00.000Z,ERP_CORPORATIVO,recebimentos,3,d4b13cf183fa5a6249a796088bae36c99db668eb5c6749bc69df3ca1c8bf4f7c
4,7544,2025-05-25,"R$ 1.712,01",PIX,RECB-BFA09F34E05,83ccf001-4c15-4f44-9c38-0d512efba514,2026-01-10T10:00:00.000Z,ERP_CORPORATIVO,recebimentos,4,2b0d5d2b3ab78e58a4d97f8507367d8641bb8567884679adb4771df9ab3923ae
5,36148,2025-01-10,3626.54,TRANSFERENCIA,RECB-B39072148D5,83ccf001-4c15-4f44-9c38-0d512efba514,2026-01-10T10:00:00.000Z,ERP_CORPORATIVO,recebimentos,5,b99bc888aa767a6635730db15035f30f36320a8bfb24d6becc9c0d57cb472d89
6,35386,May 29 2025,2432,TRANSFERENCIA,RECB-92876D2DB65,83ccf001-4c15-4f44-9c38-0d512efba514,2026-01-10T10:00:00.000Z,ERP_CORPORATIVO,recebimentos,6,c1d657f5f2990c4214bd3229b74db528be1260dc5150cd426879113d3272368b
7,6630,11/10/24,"R$ 7.097,75",TRANSFERENCIA,RECB-6EBC4823196,83ccf001-4c15-4f44-9c38-0d512efba514,2026-01-10T10:00:00.000Z,ERP_CORPORATIVO,recebimentos,7,b1db3e97cb2096bbc458ae5830f5f63aa6b807b2fb61d6e854ffbc6c3a2c8170
8,3570,2024/08/29,"R$ 2.060,00",TRANSFERENCIA,RECB-7E51D42EFD2,83ccf001-4c15-4f44-9c38-0d512efba514,2026-01-10T10:00:00.000Z,ERP_CORPORATIVO,recebimentos,8,df5dba4d6c1cb5f124f70ec97bcf4b7e8ab6e1c4efce15dba5ac8574161bd757
9,15161,09-04-2025,4,PIX,RECB-26149625EC0,83ccf001-4c15-4f44-9c38-0d512efba514,2026-01-10T10:00:00.000Z,ERP_CORPORATIVO,recebimentos,9,047fc2e5e946bab35139a4e2483b8ef7f67c9339de32fea617f92c2ecc8da431
10,876,27-03-2025,1.564,Boleto,RECB-6469A85349C,83ccf001-4c15-4f44-9c38-0d512efba514,2026-01-10T10:00:00.000Z,ERP_CORPORATIVO,recebimentos,10,5509be2b5e76273c13d1eeec814b750989432620774472b61230c9cc41dd2259
11,35454,2025-09-20,1933.40,TRANSFERENCIA,RECB-E57E99A9F2C,83ccf001-4c15-4f44-9c38-0d512efba514,2026-01-10T10:00:00.000Z,ERP_CORPORATIVO,recebimentos,11,53b711703fe3af9a498b5ee0da65f2509cf55c1e5642a31f4d5d4b3395adc2db
12,14211,12-07-2025,3,TED,RECB-8DFB4BEC583,83ccf001-4c15-4f44-9c38-0d512efba514,2026-01-10T10:00:00.000Z,ERP_CORPORATIVO,recebimentos,12,79b7877c42d390ceed6b4c85aaa52d7b05c2684864546fb7b26ce8b17311968d
13,23552,11-21-2024,3118.00,TED,RECB-1F2A8FE1D22,83ccf001-4c15-4f44-9c38-0d512efba514,2026-01-10T10:00:00.000Z,ERP_CORPORATIVO,recebimentos,13,e1bb2561a3804d1a24b32320f9fb85d55b2fa74f232efa8598124c5e8d298d5c
14,23843,Apr 04 2025,4285.63,PIX,RECB-8976FA4A8B8,83ccf001-4c15-4f44-9c38-0d512efba514,2026-01-10T10:00:00.000Z,ERP_CORPORATIVO,recebimentos,14,913054b635d089c9ec59dd0f5943197a52bef3bcc4cbae0b6ba9a3863350550b
15,11351,2025/09/11,1158.00,BOLETO,RECB-969D4B601A3,83ccf001-4c15-4f44-9c38-0d512efba514,2026-01-10T10:00:00.000Z,ERP_CORPORATIVO,recebimentos,15,dd70c982460a35c81886a0b8cfcd30da3ce4173407802c5168ae3182d7c8fb95
16,678,12-09-2025,"R$2878,40",TED,RECB-B6E58B1C6FD,83ccf001-4c15-4f44-9c38-0d512efba514,2026-01-10T10:00:00.000Z,ERP_CORPORATIVO,recebimentos,16,219f1801f4c4be575b2b40614b506f5c5062c65c6ff7007522e17edff82618fd
17,38450,11-27-2025,2.272,PIX,RECB-7640B39A1F1,83ccf001-4c15-4f44-9c38-0d512efba514,2026-01-10T10:00:00.000Z,ERP_CORPORATIVO,recebimentos,17,e0cae9b043e7dd0a80f6fdeeafad0834eedf7f94b87efac8fcc9d1085b240090
18,33194,18/06/25,1809.93,pix,RECB-90F8876666A,83ccf001-4c15-4f44-9c38-0d512efba514,2026-01-10T10:00:00.000Z,ERP_CORPORATIVO,recebimentos,18,0d44f1f14eebf32176404b4e80faa5259dea5050044234b87c71f8b19dc7a35f
19,31298,07-21-2024,1.895,PIX,RECB-D6E0893E04A,83ccf001-4c15-4f44-9c38-0d512efba514,2026-01-10T10:00:00.000Z,ERP_CORPORATIVO,recebimentos,19,a16bde9cb8cd03f5e01591a5ab1b77eba06e16c8b9551d7bc4cb1356a0386fe7
