id_transacao_raw,data_transacao,data_competencia,id_area_raw,id_fornecedor_raw,tipo_transacao,valor_bruto,valor_liquido,moeda,descricao,id_categoria_raw,forma_pagamento,status_pagamento,ingestion_id,ingestion_ts,source_system,source_entity,row_seq,raw_row_hash
TR-00038,2025-02-12,2025-02-01,COMP,1000000,DESPESA,3779.7008854773844,3779.7008854773844,BRL,Contrato de serviço - setor COMP,1,TRANSFERENCIA,PAGO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,38,429a580dbadc6aa4db42cac1e8df5bd56a17aa47923ed7df1073226f87cefb6d
TR-00039,2025-02-10,2025-02-01,ADM,1000000,DESPESA,4709.1444478265885,4709.1444478265885,BRL,Promoção e atividade externa - ADM,14,PIX,ATRASADO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,39,8e6aa54b5059bed588aca0937034918f67a15a04becdd56abffcc68c264349f6
TR-00040,2025-02-04,2025-02-01,TI,1000000,DESPESA,3648.620523218563,3574.8354673789836,BRL,Investimento em marketing corporativo (TI),4,PIX,PAGO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,40,23b869b494b218fe94bc676b866e09a7e463c17b5a1e8718e77ac0621dc10eb1
TR-00041,2025-02-17,2025-02-01,FIN,1000000,DESPESA,4163.934717349058,4163.934717349058,BRL,Encargos de empréstimo vinculados a FIN,23,BOLETO,PAGO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,41,b2c1169dd9b2dadfa9b09f2d147143bc14f8ed7b15a30bba98ef0b229d5459e1
TR-00042,2025-02-19,2025-02-01,RH,1000000,DESPESA,3618.138191775908,3618.138191775908,BRL,Aquisição de material operacional - RH,2,CARTAO,PAGO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,42,6c4d5b9a9b9fd9d9a33fc67f9ea80d247c3fa802df5a30d138de6efb4f22ccc8
TR-00043,2025-02-17,2025-02-01,CPT,1000000,DESPESA,7117.185934920138,6941.188717937384,BRL,Manutenção estrutural vinculada à área CPT,3,CARTAO,PAGO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,43,7b261c11b99b4de2d6db6aa997a69881ab57c9e970b8bf6feb0371c027768408
TR-00044,2025-02-24,2025-02-01,COMP,1000000,DESPESA,3790.119817691481,3790.119817691481,BRL,Serviço de tecnologia contratado por COMP,5,TED,PAGO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,44,15c33740be3b8a393a9d2fddb2b9dc74488810026125dc2eaab1f108a186c9be
TR-00045,2025-02-21,2025-02-01,COMP,1000000,DESPESA,8259.417200861873,8259.417200861873,BRL,Assessoria legal vinculada à área COMP,7,PIX,PAGO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,45,85ddfaf358457647de3a9246ad9fd1cbd32e6b3d89bf504d890f79fc1af21ea8
TR-00046,2025-02-07,2025-02-01,TI,1000000,DESPESA,4148.580718879827,3970.214179977964,BRL,Honorarium advocatício - TI,24,TED,PAGO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,46,27a7c660bbd5642c8437d3dfb151cd35df701e41588ff0ed509868c84816e12c
TR-00047,2025-02-17,2025-02-01,ADM,1000000,RECEITA,3649.3584646932077,3520.925163292911,BRL,Contrato de serviço - setor ADM,1,BOLETO,ATRASADO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,47,fa42694fe4f2e43cc392d1a7e503d6ba3df045b68f85ff2a2ab4efd457c73480
TR-00048,2025-02-13,2025-02-01,COMP,1000000,RECEITA,3911.314286550303,3869.673772507408,BRL,Serviço especializado solicitado por COMP,1,TRANSFERENCIA,PAGO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,48,aa2f69ddd1c86c6242c7057fc9e662279029ded293c6f7377df37bdb04059623
TR-00049,2025-02-10,2025-02-01,FIN,1000000,DESPESA,3691.783065283071,3691.783065283071,BRL,Manutenção estrutural vinculada à área FIN,3,TRANSFERENCIA,ATRASADO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,49,0f4d30b2f75e4bbbae3a0f9d04a6f8aed3eecdc9a209250274389a2dc3384c00
TR-00429,2025-02-10,2025-02-01,ESG,FORN-00004,DESPESA,4628.770389382127,4628.770389382127,BRL,Prestação de serviço para área ESG,1,TED,PAGO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,429,02601eb14b7f6030138b7a023cfe4241a19fe66841191dcd1aac153cbb76d3dc
TR-00430,2025-02-03,2025-02-01,OP,FORN-00004,DESPESA,4141.449365796407,3985.106671472517,BRL,Despesa de RH - OP,6,TED,PAGO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,430,c17b75c5620ad0d5d2a8c75e1a3e13e972f219dceb1850bcc0c09405ff8869ef
TR-00431,2025-02-12,2025-02-01,ADM,FORN-00004,RECEITA,4041.692950277509,4041.692950277509,BRL,Comissão recebida por ADM,33,TED,PAGO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,431,6ff434f1566f70f9bd218e64a8ed2819dbba24ca823a0ecae92e04307cd634df
TR-00432,2025-02-13,2025-02-01,PRD,FORN-00004,DESPESA,4079.2851582619755,4079.2851582619755,BRL,Compra de insumos para setor PRD,2,PIX,PAGO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,432,de19d514f07a52d0e5d8f17e783b30ce35c86a32b332a27460c82d502b5e64ae
TR-00433,2025-02-17,2025-02-01,ATD,FORN-00004,DESPESA,4175.744414844051,4175.744414844051,BRL,Campanha institucional - ATD,4,TRANSFERENCIA,PAGO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,433,75744ed8a2d6af88e06acb325778a145767311d19a8329cd87b64eba0a2cbfb5
TR-00434,2025-02-10,2025-02-01,PES,FORN-00004,RECEITA,3747.394915688055,3602.763769459418,BRL,Custo operacional associado a PES,8,CARTAO,PAGO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,434,e5e564654800b1aeaa0a1599220915fac823bc8743ab3bc72a8c9d550864aac3
TR-00435,2025-02-20,2025-02-01,COM,FORN-00004,RECEITA,3405.5897412611234,3405.5897412611234,BRL,Treinamento corporativo para equipe COM,30,TRANSFERENCIA,PAGO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,435,16191785af251ea2912fbe454ec5a1bcefd79096e2bc186f0a0f1f90090eb78e
TR-00617,2025-02-12,2025-02-01,SEC,1000004,RECEITA,3206.5148973203995,3206.5148973203995,BRL,Prestação de serviço para área SEC,1,PIX,PAGO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,617,bec0515e1a7c8be74f45029782fd8e97aa51146f490dfd68e28a5eda4ee4bb3e
TR-00618,2025-02-12,2025-02-01,OP,1000004,RECEITA,3691.64218472378,3691.64218472378,BRL,Honorarium advocatício - OP,24,CARTAO,PAGO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,618,563120d68282c3a1ae4a61435f14d74baad863a8b9986b10fc856ecdb04385db
TR-00619,2025-02-17,2025-02-01,COM,1000004,DESPESA,2978.890700464735,2978.890700464735,BRL,Contrato de SaaS vinculado a COM,27,BOLETO,PAGO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,619,0352604e2692ba00d38a22d5d642b57a951701265bb78289b2b9b92758194b55
TR-00620,2025-02-17,2025-02-01,RH,1000004,RECEITA,2679.8637436907525,2679.8637436907525,USD,Manutenção preventiva de veículos - RH,17,PIX,PAGO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,620,3cb1324e8fac8676e0d802e1ed23ff267ca10ada7965cc5933ba9a791104f6c6
TR-00621,2025-02-14,2025-02-01,COMP,1000004,DESPESA,10387.786752071048,10387.786752071048,BRL,Consultoria estratégica para área COMP,12,PIX,ATRASADO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,621,ecd484c9cf9cf3fafa8a38459d7ca93d1e0a82a426762ef43609f1f94414447f
TR-00622,2025-02-17,2025-02-01,MKT,1000004,DESPESA,3045.3256370960203,3045.3256370960203,BRL,Combustível e lubrificantes para frota (MKT),16,PIX,PAGO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,622,4694ae71b4d92f3dd4a1a9b2322b82e40dc6dcdb41fc35db0f4fd31001d085f6
TR-00623,2025-02-20,2025-02-01,CPT,1000004,RECEITA,2604.6543254077014,2578.0877595168176,BRL,Licenciamento de software - CPT,5,BOLETO,PAGO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,623,bbded2b6f436b88d9149365abb79b5ccc760c5f38c02a1e928c73bc83e0aa501
TR-00624,2025-02-19,2025-02-01,PRD,1000004,RECEITA,3336.5586902609543,3336.5586902609543,BRL,Despesa de RH - PRD,6,TED,PAGO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,624,e73723f2fdd707c9d9fc8691e98aed60df0bb50909aeab5f3ae7d04c6f405356
TR-00625,2025-02-14,2025-02-01,COMP,1000004,DESPESA,2891.542243062028,2891.542243062028,BRL,Manutenção estrutural vinculada à área COMP,3,TRANSFERENCIA,PAGO,999381e3-2ecc-4909-bf7c-b89b4c980749,2025-03-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,625,13fdce411c5192aaa1028d19636a8d22dbf1c30d2be5ef00b4a8d6435125f74d
