id_transacao_raw,data_transacao,data_competencia,id_area_raw,id_fornecedor_raw,tipo_transacao,valor_bruto,valor_liquido,moeda,descricao,id_categoria_raw,forma_pagamento,status_pagamento,ingestion_id,ingestion_ts,source_system,source_entity,row_seq,raw_row_hash
TR-00050,Mar 20 2025,2025-03-01,JUR,1000000,RECEITA,3.694,3.650,BRL,Locação de espaço comercial - JUR,31,TRANSFERENCIA,PAGO,8dc71c74-ada6-4718-835d-592a2623b972,2025-04-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,50,598fc7b315af441aadc6679f89c68f9a601f4bcc124a48a27d09a98f931e6545
TR-00051,17-03-2025,2025-03-01,OP,1000000,DESPESA,"R$4588,57","R$4430,73",BRL,Campanha institucional - OP,4,PIX,PAGO,8dc71c74-ada6-4718-835d-592a2623b972,2025-04-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,51,eccc3898b6c50242a0f568112dc3437b2ca9ae9dfc9ad11ba6bf04091bd22569
TR-00052,18-03-2025,2025-03-01,PRD,1000000,DESPESA,"3.564,46","R$3564,46",BRL,Serviço relacionado a recursos humanos (PRD),6,TRANSFERENCIA,PAGO,8dc71c74-ada6-4718-835d-592a2623b972,2025-04-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,52,4beba0ff6ac2ef56575372a1f2dbfcc4d7ae03f5f35ce1991b1a537c28ad2076
TR-00053,2025-03-05,2025-03-01,ADM,1000000,DESPESA,4128,"R$ 3.985,75",BRL,Despesa de infraestrutura - ADM,3,TED,PAGO,8dc71c74-ada6-4718-835d-592a2623b972,2025-04-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,53,c99d5fcfc22672a268a3a2673411f1f93fdd7bbd46dd3eb38368e10644a0041c
TR-00054,Mar 07 2025,2025-03-01,COMP,1000000,DESPESA,"R$ 4.855,05",4.642,BRL,Recebimento de subvenção - COMP,36,TRANSFERENCIA,PAGO,8dc71c74-ada6-4718-835d-592a2623b972,2025-04-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,54,b7b46672931521464f4757d588577fc093fe4ad059f7abd6ba73fddca672cb54
TR-00295,2025-03-24,2025-03-01,FIN,FORN-00003,DESPESA,2.627,"2.626,61",BRL,Devolução de venda processada por FIN,39,BOLETO,PAGO,8dc71c74-ada6-4718-835d-592a2623b972,2025-04-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,295,7e7d45c34e820c7895d7f168ca9ddbbfb676db17e2726edf88a70077d086c4ca
TR-00296,2025-03-26,2025-03-01,COM,FORN-00003,DESPESA,"R$ 2.583,09","R$2486,43",BRL,Campanha institucional - COM,4,TED,PAGO,8dc71c74-ada6-4718-835d-592a2623b972,2025-04-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,296,afdcf2044f0304fd83f097d465292d039212d908dc79cec0895228be7b20d972
TR-00297,13/03/2025,2025-03-01,COM,FORN-00003,RECEITA,"2.915,55","2.915,55",BRL,Despesa operacional - COM,8,BOLETO,PAGO,8dc71c74-ada6-4718-835d-592a2623b972,2025-04-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,297,ae6c22000cedd63e4337058437fcec13d9abddc578da899033e8e700165ff334
TR-00298,21/03/25,2025-03-01,OP,FORN-00003,DESPESA,2.018,"1.979,89",BRL,Compra de insumos para setor OP,2,CARTAO,CANCELADO,8dc71c74-ada6-4718-835d-592a2623b972,2025-04-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,298,8b5a6f15c250bf29f05603906de9a2222e3c59187cf9ae12e826283449ed4d78
TR-00299,Mar 17 2025,2025-03-01,COM,FORN-00003,DESPESA,"2.066,79",2.013,USD,Compra de insumos para setor COM,2,TED,PAGO,8dc71c74-ada6-4718-835d-592a2623b972,2025-04-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,299,c13aad0fb98e400b535e81d9b2c942bb253ca68ed46f82b5fca54e3f1c1b0d2e
