id_transacao_raw,data_transacao,data_competencia,id_area_raw,id_fornecedor_raw,tipo_transacao,valor_bruto,valor_liquido,moeda,descricao,id_categoria_raw,forma_pagamento,status_pagamento,ingestion_id,ingestion_ts,source_system,source_entity,row_seq,raw_row_hash
TR-00119,2025-11-21,2025-11-01,TI,1000000,RECEITA,3936.1987418207004,3743.9089724079136,BRL,Capacitação profissional vinculada a TI,30,BOLETO,PAGO,84a428f5-785e-4718-9700-25c2ed03bd0b,2025-12-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,119,7da88cd3d0d66407eaa5ca955b4882f55064813f46113f086f06f51a60c84a21
TR-00120,2025-11-21,2025-11-01,COMP,1000000,RECEITA,3785.9766706870305,3785.9766706870305,USD,Contrato de consultoria externa - COMP,12,CARTAO,PAGO,84a428f5-785e-4718-9700-25c2ed03bd0b,2025-12-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,120,ff1d974a45959d566a75560cf16f5c55b27973eca5a3026b746a3cca7f21d2c7
TR-00121,2025-11-18,2025-11-01,OP,1000000,DESPESA,3931.026878582537,3846.890318189461,BRL,Contrato de consultoria externa - OP,12,BOLETO,CANCELADO,84a428f5-785e-4718-9700-25c2ed03bd0b,2025-12-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,121,ac580cefbcde2f34c891a0abac4c9f221adfdebbb87d212d9f980cf782840953
TR-00122,2025-11-18,2025-11-01,LOG,1000000,RECEITA,4321.703535553883,4321.703535553883,BRL,Serviço de tecnologia contratado por LOG,5,PIX,PAGO,84a428f5-785e-4718-9700-25c2ed03bd0b,2025-12-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,122,057d59fbb1eee6200bac98e9dcb28d30594db70d9521a58e989d4b95c73d84bc
TR-00123,2025-11-25,2025-11-01,ESG,1000000,DESPESA,4231.340379798539,4231.340379798539,BRL,Contrato de serviço - setor ESG,1,PIX,PAGO,84a428f5-785e-4718-9700-25c2ed03bd0b,2025-12-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,123,24265d408d3474e0b95125f741ab42c0a311c3cbe4c6f49be5bd6ff8fa553bd7
TR-00124,2025-11-20,2025-11-01,OP,1000000,DESPESA,4901.318806796037,4815.828464393764,USD,Serviço relacionado a recursos humanos (OP),6,PIX,PAGO,84a428f5-785e-4718-9700-25c2ed03bd0b,2025-12-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,124,ed9c15a3d32100d735bde746c054bee45b015f52b943298c12590ebccb721846
TR-00125,2025-11-10,2025-11-01,TI,1000000,DESPESA,4109.901520235453,4109.901520235453,BRL,Custo operacional associado a TI,8,TRANSFERENCIA,PAGO,84a428f5-785e-4718-9700-25c2ed03bd0b,2025-12-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,125,fbd39d249f71fb51b9962f13cf3f8f4f372776c47bc5eea03e9ecbadd76f15ad
TR-00126,2025-11-10,2025-11-01,FIN,1000000,DESPESA,3900.8797064394357,3812.0459769762792,BRL,Combustível e lubrificantes para frota (FIN),16,TED,CANCELADO,84a428f5-785e-4718-9700-25c2ed03bd0b,2025-12-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,126,63e09c9f419902344ec2f628be8cd5f136570e77c64b61e5feb3c494e62c4d77
TR-00127,2025-11-12,2025-11-01,OP,1000000,RECEITA,4553.126021130767,4553.126021130767,BRL,Compra de insumos para setor OP,2,PIX,PAGO,84a428f5-785e-4718-9700-25c2ed03bd0b,2025-12-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,127,ee379944e9317ff9c98fbb901765596ab7011f62eb1f49ac385f29560a58cce2
TR-00399,2025-11-19,2025-11-01,OP,FORN-00003,DESPESA,2063.663748078472,1965.0738866970312,BRL,Abatimento comercial registrado em OP,38,TED,PAGO,84a428f5-785e-4718-9700-25c2ed03bd0b,2025-12-05,ERP_CORPORATIVO,TRANSACOES_FINANCEIRAS,399,241bcb87f0ed7ea84454f92fe574fb3877b31eac00d23970da86c59892a98277
